"","Gleba","Ponto","Ano","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"814",4,33,2010,0.484886956521739,0.30135652173913,4.6,30,11,0.7,5,2,65,12.6,29,0.15,5,17,5.8,0.4
"815",4,33,2011,0.5263,0.339469565217391,4.6,30,11,0.7,5,2,65,12.6,29,0.15,5,17,5.8,0.4
"816",4,33,2012,0.565308695652174,0.389417391304348,5,31,13,0.7,19,4,67,34.7,58,0.23,3.5,13,3.9,0.4
"817",4,33,2013,0.568121739130435,0.405191304347826,5,31,13,0.7,19,4,67,34.7,58,0.23,3.5,13,3.9,0.4
"818",4,33,2014,0.559178260869565,0.390147826086957,4.6,28,20,0.6,13,3,72,23.1,87,0.24,4.3,16,7.3,1.7
"819",4,33,2015,0.592986956521739,0.403978260869565,4.8,32,10,1.3,19,4,75,33,75,0.28,4.7,21,8.2,0.3
"820",4,33,2016,0.520165217391304,0.344860869565217,4.9,33,23,0.9,23,8,79,41.4,92,0.18,4.7,27,12.1,0.6
"821",4,34,2010,0.570273913043478,0.349369565217391,4.7,35,14,0.4,7,2,62,16.4,20,0.17,4.4,17,6.6,0.9
"822",4,34,2011,0.5969,0.373921739130435,4.7,35,14,0.4,7,2,62,16.4,20,0.17,4.4,17,6.6,0.9
"823",4,34,2012,0.59675652173913,0.378069565217391,5,37,10,1,17,5,68,32.5,41,0.25,3.1,13,4.4,0.2
"824",4,34,2013,0.612169565217391,0.399378260869565,5,37,10,1,17,5,68,32.5,41,0.25,3.1,13,4.4,0.2
"825",4,34,2014,0.606421739130435,0.401282608695652,4.8,32,20,0.9,16,4,68,30.8,79,0.26,3.6,18,7.1,1.3
"826",4,34,2015,0.645030434782609,0.407752173913043,5,37,8,1.3,23,4,74,38.1,109,0.28,3.7,21,6.4,0.3
"827",4,34,2016,0.583191304347826,0.36845652173913,5,33,21,1.3,27,10,82,47.1,69,0.16,4.4,34,10.8,0.7
